Rank,ResumeID,Score,Query
1,R000001,1,"sql"
2,R000009,1,"sql"
3,R000018,1,"sql"
4,R000020,1,"sql"
5,R000022,1,"sql"
6,R000024,1,"sql"
7,R000025,1,"sql"
8,R000030,1,"sql"
9,R000032,1,"sql"
10,R000033,1,"sql"
11,R000036,1,"sql"
12,R000043,1,"sql"
13,R000046,1,"sql"
14,R000049,1,"sql"
15,R000050,1,"sql"
16,R000058,1,"sql"
17,R000061,1,"sql"
18,R000066,1,"sql"
19,R000069,1,"sql"
20,R000075,1,"sql"
21,R000077,1,"sql"
22,R000079,1,"sql"
23,R000087,1,"sql"
24,R000088,1,"sql"
25,R000090,1,"sql"
26,R000093,1,"sql"
27,R000096,1,"sql"
28,R000098,1,"sql"
29,R000109,1,"sql"
30,R000119,1,"sql"
31,R000123,1,"sql"
32,R000126,1,"sql"
33,R000127,1,"sql"
34,R000134,1,"sql"
35,R000138,1,"sql"
36,R000139,1,"sql"
37,R000148,1,"sql"
38,R000149,1,"sql"
39,R000152,1,"sql"
40,R000153,1,"sql"
41,R000156,1,"sql"
42,R000159,1,"sql"
43,R000160,1,"sql"
44,R000161,1,"sql"
45,R000166,1,"sql"
46,R000168,1,"sql"
47,R000169,1,"sql"
48,R000177,1,"sql"
49,R000180,1,"sql"
50,R000185,1,"sql"
51,R000186,1,"sql"
52,R000188,1,"sql"
53,R000193,1,"sql"
54,R000195,1,"sql"
55,R000196,1,"sql"
56,R000199,1,"sql"
57,R000201,1,"sql"
58,R000204,1,"sql"
59,R000206,1,"sql"
60,R000209,1,"sql"
61,R000211,1,"sql"
62,R000212,1,"sql"
63,R000223,1,"sql"
64,R000230,1,"sql"
65,R000234,1,"sql"
66,R000237,1,"sql"
67,R000250,1,"sql"
68,R000252,1,"sql"
69,R000253,1,"sql"
70,R000255,1,"sql"
71,R000258,1,"sql"
72,R000259,1,"sql"
73,R000260,1,"sql"
74,R000261,1,"sql"
75,R000262,1,"sql"
76,R000264,1,"sql"
77,R000270,1,"sql"
78,R000277,1,"sql"
79,R000278,1,"sql"
80,R000286,1,"sql"
81,R000287,1,"sql"
82,R000293,1,"sql"
83,R000295,1,"sql"
84,R000299,1,"sql"
85,R000303,1,"sql"
86,R000308,1,"sql"
87,R000315,1,"sql"
88,R000323,1,"sql"
89,R000325,1,"sql"
90,R000328,1,"sql"
91,R000332,1,"sql"
92,R000339,1,"sql"
93,R000340,1,"sql"
94,R000341,1,"sql"
95,R000346,1,"sql"
96,R000350,1,"sql"
